,#,timestamp,dataset,subset,run,random,method,runtime,classifier,accuracy,cls_runtime,error,file,name,key
42,0,1625306246.0,Vessels,specific,3,1,U,458695.0,MLP,42.85714328289032,8519.3,False,/Users/tarlisportela/OneDrive/3 - Projetos/workdir/results/Ensemble1/Vessels/run3/U-specific/MLP-1/classification_times.csv,U-MLP,Vessels-specific-3
43,0,1625306246.0,Vessels,specific,3,1,U,458695.0,RF,57.14285714285714,1141.087,False,/Users/tarlisportela/OneDrive/3 - Projetos/workdir/results/Ensemble1/Vessels/run3/U-specific/MLP-1/classification_times.csv,U-RF,Vessels-specific-3
44,0,1625297803.0,Vessels,specific,3,1,HL,3543177.0,MLP,57.14285969734192,6848.378000000001,False,/Users/tarlisportela/OneDrive/3 - Projetos/workdir/results/Ensemble1/Vessels/run3/HL-specific/MLP-1/classification_times.csv,HL-MLP,Vessels-specific-3
45,0,1625297803.0,Vessels,specific,3,1,HL,3543177.0,RF,57.14285714285714,1135.494,False,/Users/tarlisportela/OneDrive/3 - Projetos/workdir/results/Ensemble1/Vessels/run3/HL-specific/MLP-1/classification_times.csv,HL-RF,Vessels-specific-3
46,0,1625264836.0,Vessels,specific,3,1,MML,15610977.0,MLP,71.42857313156128,7127.9310000000005,False,/Users/tarlisportela/OneDrive/3 - Projetos/workdir/results/Ensemble1/Vessels/run3/MML-specific/MLP-1/classification_times.csv,MML-MLP,Vessels-specific-3
47,0,1625264836.0,Vessels,specific,3,1,MML,15610977.0,RF,57.14285714285714,1149.254,False,/Users/tarlisportela/OneDrive/3 - Projetos/workdir/results/Ensemble1/Vessels/run3/MML-specific/MLP-1/classification_times.csv,MML-RF,Vessels-specific-3
48,0,1625514934.0,Vessels,specific,3,1,HLT50,6704232.0,MLP,71.42857313156128,7134.214,False,/Users/tarlisportela/OneDrive/3 - Projetos/workdir/results/Ensemble1/Vessels/run3/HLT50-specific/MLP-1/classification_times.csv,HLT50-MLP,Vessels-specific-3
49,0,1625514934.0,Vessels,specific,3,1,HLT50,6704232.0,RF,57.14285714285714,1153.265,False,/Users/tarlisportela/OneDrive/3 - Projetos/workdir/results/Ensemble1/Vessels/run3/HLT50-specific/MLP-1/classification_times.csv,HLT50-RF,Vessels-specific-3
50,0,1625155457.0,Vessels,specific,3,1,HpL,1088719.0,MLP,57.14285969734192,6809.396,False,/Users/tarlisportela/OneDrive/3 - Projetos/workdir/results/Ensemble1/Vessels/run3/HpL-specific/MLP-1/classification_times.csv,HpL-MLP,Vessels-specific-3
51,0,1625155457.0,Vessels,specific,3,1,HpL,1088719.0,RF,57.14285714285714,1147.157,False,/Users/tarlisportela/OneDrive/3 - Projetos/workdir/results/Ensemble1/Vessels/run3/HpL-specific/MLP-1/classification_times.csv,HpL-RF,Vessels-specific-3
52,0,1625493569.0,Vessels,specific,3,1,HpLT50,2652185.0,MLP,71.42857313156128,7630.264,False,/Users/tarlisportela/OneDrive/3 - Projetos/workdir/results/Ensemble1/Vessels/run3/HpLT50-specific/MLP-1/classification_times.csv,HpLT50-MLP,Vessels-specific-3
53,0,1625493569.0,Vessels,specific,3,1,HpLT50,2652185.0,RF,57.14285714285714,1139.971,False,/Users/tarlisportela/OneDrive/3 - Projetos/workdir/results/Ensemble1/Vessels/run3/HpLT50-specific/MLP-1/classification_times.csv,HpLT50-RF,Vessels-specific-3
54,0,1626184337.0,Vessels,specific,3,1,RL,4242217.0,MLP,71.42857313156128,6665.62,False,/Users/tarlisportela/OneDrive/3 - Projetos/workdir/results/Ensemble1/Vessels/run3/RL-specific/MLP-1/classification_times.csv,RL-MLP,Vessels-specific-3
55,0,1626184337.0,Vessels,specific,3,1,RL,4242217.0,RF,57.14285714285714,1137.412,False,/Users/tarlisportela/OneDrive/3 - Projetos/workdir/results/Ensemble1/Vessels/run3/RL-specific/MLP-1/classification_times.csv,RL-RF,Vessels-specific-3
56,0,1626345741.0,Vessels,specific,1,1,U,388226.0,MLP,55.55555820465088,8237.012999999999,False,/Users/tarlisportela/OneDrive/3 - Projetos/workdir/results/Ensemble1/Vessels/run1/U-specific/MLP-1/classification_times.csv,U-MLP,Vessels-specific-1
57,0,1626345741.0,Vessels,specific,1,1,U,388226.0,RF,100.0,709.068,False,/Users/tarlisportela/OneDrive/3 - Projetos/workdir/results/Ensemble1/Vessels/run1/U-specific/MLP-1/classification_times.csv,U-RF,Vessels-specific-1
58,0,1625292317.0,Vessels,specific,1,1,HL,1982998.0,MLP,77.77777910232544,6648.285,False,/Users/tarlisportela/OneDrive/3 - Projetos/workdir/results/Ensemble1/Vessels/run1/HL-specific/MLP-1/classification_times.csv,HL-MLP,Vessels-specific-1
59,0,1625292317.0,Vessels,specific,1,1,HL,1982998.0,RF,100.0,1369.681,False,/Users/tarlisportela/OneDrive/3 - Projetos/workdir/results/Ensemble1/Vessels/run1/HL-specific/MLP-1/classification_times.csv,HL-RF,Vessels-specific-1
60,0,1625243016.0,Vessels,specific,1,1,MML,7761021.0,MLP,66.66666865348816,7174.099,False,/Users/tarlisportela/OneDrive/3 - Projetos/workdir/results/Ensemble1/Vessels/run1/MML-specific/MLP-1/classification_times.csv,MML-MLP,Vessels-specific-1
61,0,1625243016.0,Vessels,specific,1,1,MML,7761021.0,RF,100.0,1344.487,False,/Users/tarlisportela/OneDrive/3 - Projetos/workdir/results/Ensemble1/Vessels/run1/MML-specific/MLP-1/classification_times.csv,MML-RF,Vessels-specific-1
62,0,1625504157.0,Vessels,specific,1,1,HLT50,4488104.0,MLP,66.66666865348816,7103.072,False,/Users/tarlisportela/OneDrive/3 - Projetos/workdir/results/Ensemble1/Vessels/run1/HLT50-specific/MLP-1/classification_times.csv,HLT50-MLP,Vessels-specific-1
63,0,1625504157.0,Vessels,specific,1,1,HLT50,4488104.0,RF,100.0,1345.807,False,/Users/tarlisportela/OneDrive/3 - Projetos/workdir/results/Ensemble1/Vessels/run1/HLT50-specific/MLP-1/classification_times.csv,HLT50-RF,Vessels-specific-1
64,0,1625153655.0,Vessels,specific,1,1,HpL,702372.0,MLP,66.66666865348816,6838.447999999999,False,/Users/tarlisportela/OneDrive/3 - Projetos/workdir/results/Ensemble1/Vessels/run1/HpL-specific/MLP-1/classification_times.csv,HpL-MLP,Vessels-specific-1
65,0,1625153655.0,Vessels,specific,1,1,HpL,702372.0,RF,100.0,1147.159,False,/Users/tarlisportela/OneDrive/3 - Projetos/workdir/results/Ensemble1/Vessels/run1/HpL-specific/MLP-1/classification_times.csv,HpL-RF,Vessels-specific-1
66,0,1625489112.0,Vessels,specific,1,1,HpLT50,1952935.0,MLP,66.66666865348816,7401.4,False,/Users/tarlisportela/OneDrive/3 - Projetos/workdir/results/Ensemble1/Vessels/run1/HpLT50-specific/MLP-1/classification_times.csv,HpLT50-MLP,Vessels-specific-1
67,0,1625489112.0,Vessels,specific,1,1,HpLT50,1952935.0,RF,100.0,1324.267,False,/Users/tarlisportela/OneDrive/3 - Projetos/workdir/results/Ensemble1/Vessels/run1/HpLT50-specific/MLP-1/classification_times.csv,HpLT50-RF,Vessels-specific-1
68,0,1626178994.0,Vessels,specific,1,1,RL,1101882.0,MLP,77.77777910232544,6733.388,False,/Users/tarlisportela/OneDrive/3 - Projetos/workdir/results/Ensemble1/Vessels/run1/RL-specific/MLP-1/classification_times.csv,RL-MLP,Vessels-specific-1
69,0,1626178994.0,Vessels,specific,1,1,RL,1101882.0,RF,100.0,1390.915,False,/Users/tarlisportela/OneDrive/3 - Projetos/workdir/results/Ensemble1/Vessels/run1/RL-specific/MLP-1/classification_times.csv,RL-RF,Vessels-specific-1
